model,mae,mse,rmse,mape,r2
lstm,7.20313376483967,89.20804656773156,9.44500114175385,13.340412194284351,0.7937861049706184
gru,6.769558933233868,80.09625776369418,8.94965126492056,12.268682727882492,0.8148489746584894
transformer,4.903623962971489,39.531655150750865,6.287420389217733,9.699686511176475,0.9086183713326216
