step_ahead,predicted_TotalVehicles
1,102.1494140625
2,94.53759765625
3,87.0419921875
4,82.3935546875
5,79.3720703125
6,76.69921875
7,74.142578125
8,71.87646484375
9,69.7265625
10,68.099609375
11,67.8671875
12,63.68359375
13,63.27685546875
14,62.986328125
15,62.8701171875
16,62.69580078125
17,62.6376953125
18,62.521484375
19,62.46337890625
20,62.4052734375
21,62.34716796875
22,62.2890625
23,62.2890625
24,62.23095703125
25,62.1728515625
26,62.23095703125
27,62.1728515625
28,62.1728515625
29,62.1728515625
30,62.1728515625
31,62.1728515625
32,62.1728515625
33,62.1728515625
34,62.1728515625
35,62.1728515625
36,62.1728515625
37,62.1728515625
38,62.1728515625
39,62.1728515625
40,62.1728515625
41,62.1728515625
42,62.1728515625
43,62.1728515625
44,62.1728515625
45,62.1728515625
46,62.1728515625
47,62.1728515625
48,62.1728515625
49,62.1728515625
50,62.1728515625
51,62.1728515625
52,62.1728515625
53,62.1728515625
54,62.1728515625
55,62.1728515625
56,62.1728515625
57,62.1728515625
58,62.1728515625
59,62.1728515625
60,62.1728515625
61,62.1728515625
62,62.1728515625
63,62.1728515625
64,62.1728515625
65,62.1728515625
66,62.1728515625
67,62.1728515625
68,62.1728515625
69,62.1728515625
70,62.1728515625
71,62.1728515625
72,62.1728515625
73,62.1728515625
74,62.1728515625
75,62.1728515625
76,62.1728515625
77,62.1728515625
78,62.1728515625
79,62.1728515625
80,62.1728515625
81,62.1728515625
82,62.1728515625
83,62.1728515625
84,62.1728515625
85,62.1728515625
86,62.1728515625
87,62.1728515625
88,62.1728515625
89,62.1728515625
90,62.1728515625
91,62.1728515625
92,62.1728515625
93,62.1728515625
94,62.1728515625
95,62.1728515625
96,62.1728515625
97,62.1728515625
98,62.1728515625
99,62.1728515625
100,62.1728515625
101,62.1728515625
102,62.1728515625
103,62.1728515625
104,62.1728515625
105,62.1728515625
106,62.1728515625
107,62.1728515625
108,62.1728515625
109,62.1728515625
110,62.1728515625
111,62.1728515625
112,62.1728515625
113,62.1728515625
114,62.1728515625
115,62.1728515625
116,62.1728515625
117,62.1728515625
118,62.1728515625
119,62.1728515625
120,62.1728515625
